[INFO]../Robot/Game.cpp:53|Init|Loaded workbench : 31
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
[INFO]../Robot/Workbench.cpp:102|Buy|product is not ready.
